"","County_Name","Date","Active_Cases_Total","Total_Positives","Total_Deaths","Pct_Positive_Cumulative","New_Cases_Today","Active_Cases_10k_Pop"
"5360","MissingCountyInfo",2020-11-09,648,1932,0,2.62,64,NA
"5361","Mississippi",2020-11-09,278,2641,72,14.26,19,64.91
"5362","Monroe",2020-11-09,33,251,2,6.97,2,45.52
"5363","Montgomery",2020-11-09,9,199,9,5.91,1,10.01
"5364","Nevada",2020-11-09,47,368,14,6.48,2,55.69
"5365","Newton",2020-11-09,29,346,21,10.81,1,36.95
"5366","Ouachita",2020-11-09,41,435,9,5.19,1,17.01
"5367","Perry",2020-11-09,40,181,2,3.38,1,38.75
"5368","Phillips",2020-11-09,38,809,16,7.95,2,19.96
"5369","Pike",2020-11-09,19,291,1,8.69,3,17.58
"5370","Poinsett",2020-11-09,216,1354,32,9.39,22,89.8
"5371","Polk",2020-11-09,74,445,5,6.7,10,36.7
"5372","Pope",2020-11-09,201,2991,39,8.39,10,31.58
"5373","Prairie",2020-11-09,44,281,5,7.74,6,53.37
"5374","Pulaski",2020-11-09,1110,13342,230,6.61,119,28.21
"5375","Randolph",2020-11-09,73,756,26,8.81,2,41.47
"5376","SaintFrancis",2020-11-09,82,1855,11,10.85,12,31.19
"5377","Saline",2020-11-09,412,3416,42,7,34,34.91
"5378","Scott",2020-11-09,39,267,2,5.23,2,37.35
"5379","Searcy",2020-11-09,17,227,1,6.2,0,21.46
"5380","Sebastian",2020-11-09,636,5618,106,7.5,56,49.9
"5381","Sevier",2020-11-09,112,1505,16,15.8,7,65.14
"5382","Sharp",2020-11-09,76,449,13,6.33,3,44.59
"5383","Stone",2020-11-09,13,418,22,8.32,2,10.45
"5384","Union",2020-11-09,68,1261,53,9.04,0,17.11
"5385","VanBuren",2020-11-09,16,246,3,3.86,0,9.59
"5386","Washington",2020-11-09,886,12605,162,10.43,82,38.77
"5387","White",2020-11-09,365,1943,41,7.26,26,46.32
"5388","Woodruff",2020-11-09,24,154,0,5.71,2,36.04
"5389","Yell",2020-11-09,62,1418,32,8.79,7,28.74
"5390","Arkansas_all_counties",2020-11-10,12874,124235,2112,8.15,1424,43.05
"5391","Arkansas_county",2020-11-10,82,787,20,7.08,5,45.24
"5392","Ashley",2020-11-10,69,627,13,8.11,5,33.6
"5393","Baxter",2020-11-10,197,969,15,11.01,29,47.79
"5394","Benton",2020-11-10,1125,9677,133,9.04,116,43.44
"5395","Boone",2020-11-10,140,1241,38,7.26,23,37.55
"5396","Bradley",2020-11-10,13,384,8,7.11,1,11.87
"5397","Calhoun",2020-11-10,29,87,0,4.02,6,55.75
"5398","Carroll",2020-11-10,80,1116,20,10.18,19,28.69
"5399","Chicot",2020-11-10,11,1065,23,14.26,0,10.16
"5400","Clark",2020-11-10,91,619,6,5.55,11,40.65
"5401","Clay",2020-11-10,75,586,16,7.57,4,49.8
"5402","Cleburne",2020-11-10,52,553,18,5.32,3,20.61
"5403","Cleveland",2020-11-10,33,285,13,6.52,4,40.12
"5404","Columbia",2020-11-10,80,831,22,9.45,24,33.48
"5405","Conway",2020-11-10,56,418,4,4.39,6,26.79
"5406","Craighead",2020-11-10,788,5628,58,9.39,90,74.55
"5407","Crawford",2020-11-10,275,2432,33,7.2,31,44.02
"5408","Crittenden",2020-11-10,247,2744,53,12.91,17,50.39
"5409","Cross",2020-11-10,38,647,23,8.34,6,22.36
"5410","Dallas",2020-11-10,17,205,6,6.5,4,22.87
"5411","Desha",2020-11-10,41,461,8,7.73,3,34.49
"5412","Drew",2020-11-10,38,480,7,5.45,3,20.54
"5413","Faulkner",2020-11-10,312,3806,44,6.44,34,25.49
"5414","Franklin",2020-11-10,72,633,4,6.1,8,40.49
"5415","Fulton",2020-11-10,47,392,11,11.49,8,38.72
"5416","Garland",2020-11-10,303,2881,82,6.22,31,30.83
"5417","Grant",2020-11-10,40,415,4,5.26,4,22.12
"5418","Greene",2020-11-10,345,1992,23,8.27,60,77.31
"5419","Hempstead",2020-11-10,85,685,5,8.39,13,38.6
"5420","HotSpring",2020-11-10,211,2447,39,11.15,16,62.95
"5421","Howard",2020-11-10,78,694,15,12.76,4,58.26
"5422","Independence",2020-11-10,218,1755,66,9.6,67,58.5
"5423","Izard",2020-11-10,220,845,3,11.49,9,162.25
"5424","Jackson",2020-11-10,272,1073,6,8.88,37,157.91
"5425","Jefferson",2020-11-10,342,4595,102,9.51,36,48.56
"5426","Johnson",2020-11-10,49,1099,11,8.93,4,18.64
"5427","Lafayette",2020-11-10,36,223,3,12.04,3,52.06
"5428","Lawrence",2020-11-10,90,965,24,12.3,10,53.99
"5429","Lee",2020-11-10,9,1120,18,17.13,1,9.58
"5430","Lincoln",2020-11-10,22,2356,18,18.87,1,16.06
"5431","LittleRiver",2020-11-10,28,523,38,16.69,4,22.55
"5432","Logan",2020-11-10,61,667,5,5.65,14,28.04
"5433","Lonoke",2020-11-10,261,2113,35,6.39,36,36.15
"5434","Madison",2020-11-10,50,489,6,7.61,9,31.1
"5435","Marion",2020-11-10,63,232,2,5.42,12,38.33
"5436","Miller",2020-11-10,203,1816,22,15.95,20,46.39
"5437","MissingCountyInfo",2020-11-10,553,1847,0,2.5,-85,NA
"5438","Mississippi",2020-11-10,275,2664,72,14.1,23,64.21
"5439","Monroe",2020-11-10,34,254,3,7.01,3,46.9
"5440","Montgomery",2020-11-10,11,201,9,5.94,2,12.23
"5441","Nevada",2020-11-10,45,370,14,6.47,2,53.32
"5442","Newton",2020-11-10,34,354,21,10.84,8,43.32
"5443","Ouachita",2020-11-10,45,442,9,5.25,7,18.67
"5444","Perry",2020-11-10,41,183,2,3.4,2,39.72
"5445","Phillips",2020-11-10,37,814,16,7.97,5,19.44
"5446","Pike",2020-11-10,19,295,1,8.78,4,17.58
"5447","Poinsett",2020-11-10,209,1371,32,9.46,17,86.89
"5448","Polk",2020-11-10,89,466,5,6.86,21,44.14
"5449","Pope",2020-11-10,200,3009,39,8.39,18,31.42
"5450","Prairie",2020-11-10,47,288,5,7.87,7,57.01
"5451","Pulaski",2020-11-10,1173,13475,230,6.62,133,29.81
"5452","Randolph",2020-11-10,90,779,26,8.98,23,51.13
"5453","SaintFrancis",2020-11-10,83,1861,11,10.8,6,31.57
"5454","Saline",2020-11-10,451,3481,42,7.05,65,38.22
"5455","Scott",2020-11-10,42,271,2,5.27,4,40.22
"5456","Searcy",2020-11-10,20,233,1,6.27,6,25.24
"5457","Sebastian",2020-11-10,647,5676,107,7.52,58,50.76
"5458","Sevier",2020-11-10,117,1522,16,15.86,17,68.05
"5459","Sharp",2020-11-10,80,457,13,6.4,8,46.94
"5460","Stone",2020-11-10,14,419,22,8.26,1,11.25
"5461","Union",2020-11-10,72,1277,53,9.09,16,18.12
"5462","VanBuren",2020-11-10,20,250,3,3.9,4,11.99
"5463","Washington",2020-11-10,938,12730,162,10.44,125,41.05
"5464","White",2020-11-10,395,2003,41,7.4,60,50.12
"5465","Woodruff",2020-11-10,27,157,0,5.77,3,40.54
"5466","Yell",2020-11-10,72,1428,32,8.82,10,33.38
"5467","Arkansas_all_counties",2020-11-11,13691,126197,2126,8.19,1962,45.78
"5468","Arkansas_county",2020-11-11,84,798,20,7.09,11,46.35
"5469","Ashley",2020-11-11,67,632,13,8.12,5,32.62
"5470","Baxter",2020-11-11,212,997,15,11.12,28,51.43
"5471","Benton",2020-11-11,1193,9838,133,9.14,161,46.07
"5472","Boone",2020-11-11,150,1262,40,7.35,21,40.23
"5473","Bradley",2020-11-11,17,388,8,7.15,4,15.53
"5474","Calhoun",2020-11-11,32,91,0,4.18,4,61.51
"5475","Carroll",2020-11-11,83,1128,20,10.18,12,29.76
"5476","Chicot",2020-11-11,13,1069,23,14.29,4,12.01
"5477","Clark",2020-11-11,104,639,6,5.65,20,46.46
"5478","Clay",2020-11-11,71,590,17,7.58,4,47.14
"5479","Cleburne",2020-11-11,60,563,18,5.35,10,23.78
"5480","Cleveland",2020-11-11,27,285,13,6.35,0,32.82
"5481","Columbia",2020-11-11,70,832,22,9.38,1,29.3
"5482","Conway",2020-11-11,63,427,4,4.45,9,30.13
"5483","Craighead",2020-11-11,791,5698,58,9.42,70,74.83
"5484","Crawford",2020-11-11,297,2477,33,7.28,45,47.54
"5485","Crittenden",2020-11-11,257,2791,53,13.03,47,52.44
"5486","Cross",2020-11-11,33,648,23,8.25,1,19.41
"5487","Dallas",2020-11-11,18,207,6,6.49,2,24.22
"5488","Desha",2020-11-11,40,465,8,7.77,4,33.65
"5489","Drew",2020-11-11,39,483,7,5.46,3,21.08
"5490","Faulkner",2020-11-11,355,3871,44,6.5,65,29
"5491","Franklin",2020-11-11,79,641,4,6.15,8,44.43
"5492","Fulton",2020-11-11,60,410,12,11.49,18,49.43
"5493","Garland",2020-11-11,337,3018,82,6.47,137,34.28
"5494","Grant",2020-11-11,43,424,4,5.33,9,23.78
"5495","Greene",2020-11-11,353,2018,24,8.32,26,79.11
"5496","Hempstead",2020-11-11,79,687,5,8.3,2,35.88
"5497","HotSpring",2020-11-11,246,2495,39,11.2,48,73.39
"5498","Howard",2020-11-11,74,697,15,12.75,3,55.27
"5499","Independence",2020-11-11,241,1785,68,9.71,30,64.67
"5500","Izard",2020-11-11,219,853,4,11.53,8,161.52
"5501","Jackson",2020-11-11,288,1102,6,9.04,29,167.2
"5502","Jefferson",2020-11-11,351,4629,103,9.49,34,49.84
"5503","Johnson",2020-11-11,53,1105,11,8.84,6,20.16
"5504","Lafayette",2020-11-11,38,226,3,12.03,3,54.95
"5505","Lawrence",2020-11-11,85,976,25,12.37,11,50.99
"5506","Lee",2020-11-11,15,1126,18,17.09,6,15.96
"5507","Lincoln",2020-11-11,25,2360,18,18.86,4,18.25
"5508","LittleRiver",2020-11-11,28,526,39,16.66,3,22.55
"5509","Logan",2020-11-11,69,683,5,5.73,16,31.71
"5510","Lonoke",2020-11-11,271,2149,35,6.43,36,37.53
"5511","Madison",2020-11-11,51,496,6,7.68,7,31.72
"5512","Marion",2020-11-11,62,237,2,5.47,5,37.72
"5513","Miller",2020-11-11,204,1831,22,15.89,15,46.62
"5514","MissingCountyInfo",2020-11-11,633,1948,0,2.53,101,NA
"5515","Mississippi",2020-11-11,277,2695,72,14.18,31,64.67
"5516","Monroe",2020-11-11,33,258,3,7.07,4,45.52
"5517","Montgomery",2020-11-11,14,205,9,6.03,4,15.57
"5518","Nevada",2020-11-11,46,374,14,6.42,4,54.5
"5519","Newton",2020-11-11,28,355,21,10.83,1,35.68
"5520","Ouachita",2020-11-11,50,451,9,5.32,9,20.74
"5521","Perry",2020-11-11,37,188,2,3.4,5,35.85
"5522","Phillips",2020-11-11,40,818,16,7.9,4,21.02
"5523","Pike",2020-11-11,25,306,1,9.02,11,23.13
"5524","Poinsett",2020-11-11,200,1388,32,9.51,17,83.15
"5525","Polk",2020-11-11,105,488,5,7.07,22,52.08
"5526","Pope",2020-11-11,217,3047,39,8.43,38,34.1
"5527","Prairie",2020-11-11,59,304,5,8.17,16,71.57
"5528","Pulaski",2020-11-11,1252,13652,231,6.65,177,31.82
"5529","Randolph",2020-11-11,92,789,26,9,10,52.26
"5530","SaintFrancis",2020-11-11,85,1876,11,10.85,15,32.33
"5531","Saline",2020-11-11,510,3574,44,7.14,93,43.22
"5532","Scott",2020-11-11,52,283,2,5.43,12,49.8
"5533","Searcy",2020-11-11,24,238,1,6.32,5,30.29
"5534","Sebastian",2020-11-11,715,5791,107,7.62,115,56.1
"5535","Sevier",2020-11-11,121,1541,16,15.92,19,70.38
"5536","Sharp",2020-11-11,86,466,13,6.47,9,50.46
"5537","Stone",2020-11-11,11,421,22,8.26,2,8.84
"5538","Union",2020-11-11,72,1288,53,9.11,11,18.12
"5539","VanBuren",2020-11-11,24,254,3,3.95,4,14.39
"5540","Washington",2020-11-11,998,12871,162,10.49,141,43.67
"5541","White",2020-11-11,425,2065,41,7.57,62,53.93
"5542","Woodruff",2020-11-11,23,158,0,5.78,1,34.53
"5543","Yell",2020-11-11,90,1452,32,8.9,24,41.72
"5544","Arkansas_all_counties",2020-11-12,14491,128006,2144,8.23,1809,48.45
"5545","Arkansas_county",2020-11-12,89,807,20,7.1,9,49.11
"5546","Ashley",2020-11-12,68,643,13,8.17,11,33.11
"5547","Baxter",2020-11-12,212,1016,16,11.2,19,51.43
"5548","Benton",2020-11-12,1248,9977,133,9.19,139,48.19
"5549","Boone",2020-11-12,188,1308,40,7.47,46,50.42
"5550","Bradley",2020-11-12,16,390,8,7.16,2,14.61
"5551","Calhoun",2020-11-12,34,95,0,4.33,4,65.36
"5552","Carroll",2020-11-12,90,1141,20,10.22,13,32.27
"5553","Chicot",2020-11-12,15,1073,24,14.23,4,13.86
"5554","Clark",2020-11-12,106,648,6,5.64,9,47.35
"5555","Clay",2020-11-12,88,609,17,7.71,19,58.43
"5556","Cleburne",2020-11-12,60,570,18,5.34,7,23.78
"5557","Cleveland",2020-11-12,25,286,13,6.33,1,30.39
"5558","Columbia",2020-11-12,73,839,22,9.28,7,30.55
"5559","Conway",2020-11-12,87,453,5,4.67,26,41.61
"5560","Craighead",2020-11-12,796,5766,59,9.44,68,75.31
"5561","Crawford",2020-11-12,310,2519,33,7.34,42,49.62
"5562","Crittenden",2020-11-12,251,2815,53,13.03,24,51.21
"5563","Cross",2020-11-12,35,653,24,8.24,5,20.59
"5564","Dallas",2020-11-12,21,211,6,6.5,4,28.26
"5565","Desha",2020-11-12,39,469,8,7.78,4,32.81
"5566","Drew",2020-11-12,41,488,7,5.4,5,22.16
"5567","Faulkner",2020-11-12,403,3942,44,6.56,71,32.92
"5568","Franklin",2020-11-12,75,644,4,6.13,3,42.18
"5569","Fulton",2020-11-12,64,415,12,11.51,5,52.72
"5570","Garland",2020-11-12,346,3053,82,6.43,35,35.2
"5571","Grant",2020-11-12,51,434,4,5.38,10,28.2
"5572","Greene",2020-11-12,364,2067,24,8.37,49,81.57
"5573","Hempstead",2020-11-12,84,699,5,8.36,12,38.15
"5574","HotSpring",2020-11-12,258,2522,39,11.16,27,76.97
"5575","Howard",2020-11-12,72,702,15,12.7,5,53.78
"5576","Independence",2020-11-12,243,1795,68,9.57,10,65.21
"5577","Izard",2020-11-12,225,862,4,11.53,9,165.94
"5578","Jackson",2020-11-12,314,1136,6,9,34,182.29
"5579","Jefferson",2020-11-12,380,4679,103,9.51,50,53.96
"5580","Johnson",2020-11-12,52,1112,11,8.85,7,19.78
"5581","Lafayette",2020-11-12,33,227,3,11.98,1,47.72
"5582","Lawrence",2020-11-12,89,986,25,12.39,10,53.39
"5583","Lee",2020-11-12,18,1129,18,17.09,3,19.15
"5584","Lincoln",2020-11-12,27,2363,18,18.79,3,19.72
"5585","LittleRiver",2020-11-12,33,536,39,16.57,10,26.58
"5586","Logan",2020-11-12,79,696,5,5.76,13,36.31
"5587","Lonoke",2020-11-12,281,2180,36,6.45,31,38.92
"5588","Madison",2020-11-12,60,507,6,7.8,11,37.32
"5589","Marion",2020-11-12,65,246,2,5.62,9,39.54
"5590","Miller",2020-11-12,191,1850,22,15.84,19,43.65
"5591","MissingCountyInfo",2020-11-12,679,2013,0,2.61,65,NA
"5592","Mississippi",2020-11-12,297,2732,73,14.25,37,69.34
"5593","Monroe",2020-11-12,31,260,4,7.04,2,42.76
"5594","Montgomery",2020-11-12,17,208,9,6.06,3,18.9
"5595","Nevada",2020-11-12,46,378,14,6.46,4,54.5
"5596","Newton",2020-11-12,28,360,21,10.89,5,35.68
"5597","Ouachita",2020-11-12,61,465,9,5.39,14,25.3
"5598","Perry",2020-11-12,35,192,3,3.43,4,33.91
"5599","Phillips",2020-11-12,40,825,16,7.92,7,21.02
"5600","Pike",2020-11-12,24,307,1,8.95,1,22.21
"5601","Poinsett",2020-11-12,215,1414,32,9.58,26,89.38
"5602","Polk",2020-11-12,120,507,5,7.26,19,59.51
"5603","Pope",2020-11-12,220,3074,39,8.42,27,34.57
"5604","Prairie",2020-11-12,59,308,5,8.21,4,71.57
"5605","Pulaski",2020-11-12,1372,13855,234,6.69,203,34.87
"5606","Randolph",2020-11-12,93,799,27,8.98,10,52.83
"5607","SaintFrancis",2020-11-12,82,1884,11,10.8,8,31.19
"5608","Saline",2020-11-12,553,3648,44,7.22,74,46.86
"5609","Scott",2020-11-12,54,287,2,5.39,4,51.71
"5610","Searcy",2020-11-12,24,241,1,6.37,3,30.29
"5611","Sebastian",2020-11-12,747,5887,110,7.68,96,58.61
"5612","Sevier",2020-11-12,110,1545,16,15.82,4,63.98
"5613","Sharp",2020-11-12,99,482,13,6.48,16,58.09
"5614","Stone",2020-11-12,12,423,22,8.25,2,9.64
"5615","Union",2020-11-12,83,1302,54,9.09,14,20.89
"5616","VanBuren",2020-11-12,25,258,3,3.98,4,14.98
"5617","Washington",2020-11-12,1094,13049,162,10.54,178,47.87
"5618","White",2020-11-12,451,2122,41,7.7,57,57.23
"5619","Woodruff",2020-11-12,24,160,0,5.78,2,36.04
"5620","Yell",2020-11-12,97,1463,33,8.81,11,44.96
"5621","Arkansas_all_counties",2020-11-13,15773,130318,2148,8.28,2312,52.74
"5622","Arkansas_county",2020-11-13,91,818,20,7.14,11,50.21
"5623","Ashley",2020-11-13,88,672,13,8.43,29,42.85
"5624","Baxter",2020-11-13,237,1049,17,11.29,33,57.5
"5625","Benton",2020-11-13,1319,10127,133,9.25,150,50.93
"5626","Boone",2020-11-13,201,1327,40,7.54,19,53.9
"5627","Bradley",2020-11-13,16,391,8,7.14,1,14.61
"5628","Calhoun",2020-11-13,38,100,0,4.53,5,73.05
"5629","Carroll",2020-11-13,99,1156,21,10.3,15,35.5
"5630","Chicot",2020-11-13,24,1082,24,14.28,9,22.17
"5631","Clark",2020-11-13,117,667,6,5.71,19,52.27
"5632","Clay",2020-11-13,128,652,17,7.89,43,84.99
"5633","Cleburne",2020-11-13,65,581,18,5.37,11,25.76
"5634","Cleveland",2020-11-13,35,297,13,6.48,11,42.55
"5635","Columbia",2020-11-13,80,852,22,9.28,13,33.48
"5636","Conway",2020-11-13,95,466,5,4.74,13,45.44
"5637","Craighead",2020-11-13,843,5885,59,9.53,119,79.75
"5638","Crawford",2020-11-13,352,2579,33,7.42,60,56.35
"5639","Crittenden",2020-11-13,253,2850,53,13.06,35,51.62
"5640","Cross",2020-11-13,42,663,24,8.31,10,24.71
"5641","Dallas",2020-11-13,34,224,6,6.76,13,45.75
"5642","Desha",2020-11-13,41,472,8,7.8,3,34.49
"5643","Drew",2020-11-13,53,503,7,5.51,15,28.65
"5644","Faulkner",2020-11-13,432,4009,44,6.62,67,35.29
"5645","Franklin",2020-11-13,62,646,4,6.12,2,34.87
"5646","Fulton",2020-11-13,64,423,12,11.61,8,52.72
"5647","Garland",2020-11-13,443,3164,82,6.62,111,45.07
"5648","Grant",2020-11-13,54,439,4,5.41,5,29.86
"5649","Greene",2020-11-13,398,2130,24,8.47,63,89.19
"5650","Hempstead",2020-11-13,86,711,5,8.4,12,39.06
"5651","HotSpring",2020-11-13,279,2551,39,11.18,29,83.23
"5652","Howard",2020-11-13,71,709,15,12.77,7,53.03
"5653","Independence",2020-11-13,263,1824,68,9.63,29,70.58
"5654","Izard",2020-11-13,230,869,4,11.44,7,169.63
"5655","Jackson",2020-11-13,291,1220,6,9.35,84,168.94
"5656","Jefferson",2020-11-13,398,4714,103,9.51,35,56.51
"5657","Johnson",2020-11-13,61,1129,11,8.91,17,23.2
"5658","Lafayette",2020-11-13,20,228,3,11.92,1,28.92
"5659","Lawrence",2020-11-13,96,998,25,12.42,12,57.59
"5660","Lee",2020-11-13,19,1130,18,16.8,1,20.22
"5661","Lincoln",2020-11-13,30,2365,18,18.65,2,21.91
"5662","LittleRiver",2020-11-13,42,547,39,16.72,11,33.82
"5663","Logan",2020-11-13,100,720,5,5.79,24,45.96
"5664","Lonoke",2020-11-13,315,2223,36,6.51,43,43.63
"5665","Madison",2020-11-13,59,512,6,7.82,5,36.7
"5666","Marion",2020-11-13,73,262,2,5.92,16,44.41
"5667","Miller",2020-11-13,198,1882,22,15.96,32,45.25
"5668","MissingCountyInfo",2020-11-13,786,2138,0,2.72,125,NA
"5669","Mississippi",2020-11-13,315,2771,73,14.28,39,73.54
"5670","Monroe",2020-11-13,27,261,4,7.01,1,37.25
"5671","Montgomery",2020-11-13,19,213,9,6.02,5,21.13
"5672","Nevada",2020-11-13,42,381,14,6.36,3,49.76
"5673","Newton",2020-11-13,32,364,21,10.82,4,40.77
"5674","Ouachita",2020-11-13,73,481,9,5.52,16,30.28
"5675","Perry",2020-11-13,33,194,3,3.44,2,31.97
"5676","Phillips",2020-11-13,43,830,16,7.93,5,22.59
"5677","Pike",2020-11-13,27,312,1,9.04,5,24.98
"5678","Poinsett",2020-11-13,230,1439,32,9.64,25,95.62
"5679","Polk",2020-11-13,146,539,5,7.63,32,72.41
"5680","Pope",2020-11-13,278,3147,39,8.52,73,43.68
"5681","Prairie",2020-11-13,56,308,5,8.09,0,67.93
"5682","Pulaski",2020-11-13,1500,14051,234,6.72,196,38.12
"5683","Randolph",2020-11-13,106,815,27,8.9,16,60.22
"5684","SaintFrancis",2020-11-13,87,1893,11,10.81,9,33.09
"5685","Saline",2020-11-13,595,3727,46,7.3,79,50.42
"5686","Scott",2020-11-13,55,293,2,5.4,6,52.67
"5687","Searcy",2020-11-13,31,251,1,6.59,10,39.13
"5688","Sebastian",2020-11-13,808,5984,110,7.7,97,63.39
"5689","Sevier",2020-11-13,115,1565,16,15.91,20,66.89
"5690","Sharp",2020-11-13,114,504,13,6.71,22,66.89
"5691","Stone",2020-11-13,14,425,22,8.17,2,11.25
"5692","Union",2020-11-13,87,1320,54,9.11,18,21.9
"5693","VanBuren",2020-11-13,31,264,3,4.05,6,18.58
"5694","Washington",2020-11-13,1160,13189,162,10.54,140,50.76
"5695","White",2020-11-13,495,2200,41,7.83,78,62.81
"5696","Woodruff",2020-11-13,23,162,0,5.76,2,34.53
"5697","Yell",2020-11-13,110,1479,33,8.79,16,50.99
"5698","Arkansas_all_counties",2020-11-14,16553,132166,2159,8.32,1848,55.35
"5699","Arkansas_county",2020-11-14,97,833,20,7.19,15,53.52
"5700","Ashley",2020-11-14,84,675,13,8.44,3,40.9
"5701","Baxter",2020-11-14,247,1079,17,11.48,30,59.92
"5702","Benton",2020-11-14,1403,10285,134,9.35,158,54.17
"5703","Boone",2020-11-14,217,1350,40,7.64,23,58.2
"5704","Bradley",2020-11-14,18,393,8,7.13,2,16.44
"5705","Calhoun",2020-11-14,40,105,0,4.72,5,76.89
"5706","Carroll",2020-11-14,107,1170,21,10.36,14,38.37
"5707","Chicot",2020-11-14,29,1088,24,14.27,6,26.79
"5708","Clark",2020-11-14,121,678,6,5.77,11,54.05
"5709","Clay",2020-11-14,137,670,18,8,18,90.96
"5710","Cleburne",2020-11-14,73,593,18,5.42,12,28.93
"5711","Cleveland",2020-11-14,33,298,13,6.41,1,40.12
"5712","Columbia",2020-11-14,85,865,22,9.38,13,35.58
"5713","Conway",2020-11-14,109,486,6,4.87,20,52.14
"5714","Craighead",2020-11-14,845,5953,60,9.53,68,79.94
"5715","Crawford",2020-11-14,363,2613,33,7.47,34,58.11
"5716","Crittenden",2020-11-14,257,2876,53,13.11,26,52.44
"5717","Cross",2020-11-14,49,672,24,8.38,9,28.83
"5718","Dallas",2020-11-14,39,229,6,6.8,5,52.48
"5719","Desha",2020-11-14,42,476,8,7.83,4,35.33
"5720","Drew",2020-11-14,57,511,7,5.58,8,30.81
"5721","Faulkner",2020-11-14,469,4072,44,6.65,63,38.31
"5722","Franklin",2020-11-14,68,657,4,6.17,11,38.25
"5723","Fulton",2020-11-14,68,430,12,11.74,7,56.02
"5724","Garland",2020-11-14,449,3200,83,6.66,36,45.68
"5725","Grant",2020-11-14,64,453,4,5.53,14,35.39
"5726","Greene",2020-11-14,429,2189,24,8.63,59,96.14
"5727","Hempstead",2020-11-14,85,719,6,8.34,8,38.6
"5728","HotSpring",2020-11-14,263,2574,39,11.16,23,78.46
"5729","Howard",2020-11-14,73,715,15,12.64,6,54.52
"5730","Independence",2020-11-14,276,1843,68,9.69,19,74.07
"5731","Izard",2020-11-14,198,884,4,11.1,15,146.03
"5732","Jackson",2020-11-14,323,1259,6,9.54,39,187.52
"5733","Jefferson",2020-11-14,415,4748,103,9.53,34,58.93
"5734","Johnson",2020-11-14,69,1135,11,8.86,6,26.24
"5735","Lafayette",2020-11-14,19,229,3,11.84,1,27.48
"5736","Lawrence",2020-11-14,106,1015,25,12.54,17,63.59
"5737","Lee",2020-11-14,25,1136,18,16.7,6,26.6
"5738","Lincoln",2020-11-14,28,2365,18,18.63,0,20.45
"5739","LittleRiver",2020-11-14,49,556,39,16.74,9,39.46
"5740","Logan",2020-11-14,105,730,5,5.85,10,48.26
"5741","Lonoke",2020-11-14,329,2256,36,6.57,33,45.56
"5742","Madison",2020-11-14,68,523,6,7.82,11,42.3
"5743","Marion",2020-11-14,86,276,2,6.18,14,52.32
"5744","Miller",2020-11-14,182,1891,22,15.96,9,41.59
"5745","MissingCountyInfo",2020-11-14,758,2106,0,2.57,-32,NA
"5746","Mississippi",2020-11-14,318,2804,75,14.35,33,74.25
"5747","Monroe",2020-11-14,24,262,4,6.98,1,33.11
"5748","Montgomery",2020-11-14,20,215,9,6.05,2,22.24
"5749","Nevada",2020-11-14,40,386,14,6.38,5,47.39
"5750","Newton",2020-11-14,37,372,21,11.03,8,47.15
"5751","Ouachita",2020-11-14,78,490,9,5.59,9,32.36
"5752","Perry",2020-11-14,33,197,3,3.47,3,31.97
"5753","Phillips",2020-11-14,44,834,16,7.94,4,23.12
"5754","Pike",2020-11-14,30,316,1,9.1,4,27.76
"5755","Poinsett",2020-11-14,218,1451,32,9.65,12,90.63
"5756","Polk",2020-11-14,155,555,6,7.77,16,76.87
"5757","Pope",2020-11-14,309,3201,39,8.61,54,48.55
"5758","Prairie",2020-11-14,50,312,5,8.12,4,60.65
"5759","Pulaski",2020-11-14,1592,14256,235,6.74,205,40.46
"5760","Randolph",2020-11-14,114,826,27,8.97,11,64.76
"5761","SaintFrancis",2020-11-14,91,1903,11,10.82,10,34.61
"5762","Saline",2020-11-14,660,3820,46,7.41,93,55.93
"5763","Scott",2020-11-14,54,297,2,5.46,4,51.71
"5764","Searcy",2020-11-14,36,256,1,6.7,5,45.44
"5765","Sebastian",2020-11-14,822,6067,110,7.77,83,64.49
"5766","Sevier",2020-11-14,111,1571,16,15.78,6,64.56
"5767","Sharp",2020-11-14,124,520,13,6.87,16,72.76
"5768","Stone",2020-11-14,15,428,22,8.19,3,12.05
"5769","Union",2020-11-14,88,1333,54,9.15,13,22.15
"5770","VanBuren",2020-11-14,33,266,3,4.05,2,19.78
"5771","Washington",2020-11-14,1324,13425,163,10.63,236,57.94
"5772","White",2020-11-14,533,2281,41,8.05,81,67.64
"5773","Woodruff",2020-11-14,21,167,0,5.86,5,31.53
"5774","Yell",2020-11-14,123,1496,33,8.86,17,57.02
"5775","Arkansas_all_counties",2020-11-15,16531,133040,2183,8.32,874,55.28
"5776","Arkansas_county",2020-11-15,91,838,20,7.2,5,50.21
"5777","Ashley",2020-11-15,81,679,13,8.46,4,39.44
"5778","Baxter",2020-11-15,246,1089,19,11.5,10,59.68
"5779","Benton",2020-11-15,1373,10354,135,9.38,69,53.02
"5780","Boone",2020-11-15,220,1363,40,7.67,13,59
"5781","Bradley",2020-11-15,15,392,8,7.09,-1,13.7
"5782","Calhoun",2020-11-15,37,104,0,4.67,-1,71.13
"5783","Carroll",2020-11-15,107,1171,21,10.34,1,38.37
"5784","Chicot",2020-11-15,30,1090,24,14.22,2,27.71
"5785","Clark",2020-11-15,121,683,6,5.78,5,54.05
"5786","Clay",2020-11-15,142,680,18,8.07,10,94.28
